Language_ID	AUTOTYP_area	Longitude	Latitude
aran1237	N Coast New Guinea	132.983	-2.08016
aran1261	Indic	75.79538	11.35252
aran1265	Basin and Plains	-97.38526	28.65425
arao1248	NE South America	-67.7293	-12.4242
arap1274	Basin and Plains	-108.81	43.3879
arap1275	NE South America	-67.7282	0.13727
araw1272	N Coast New Guinea	145.903	-5.52787
araw1273	NE South America	-52.5001	-4.90246
araw1276	NE South America	-56.9243	5.64295
araz1236	NE South America	-70.8	-13.25
arbe1236	Europe	16.7164	38.911
arbo1245	Greater Abyssinia	36.7986	4.92183
arch1244	Greater Mesopotamia	46.8267	42.3239
arch1246	Europe	22.84	66.32
area1240	Oceania	161.158	-9.20699
areb1238	N Australia	142.63107	-16.63548
aree1239	S New Guinea	149.999	-9.67147
arem1240	Southeast Asia	105.928	17.7672
areq1237	Andean	-72.6333	-15.1806
arge1236	SE South America	-59.1798	-34.797
argo1244	Greater Abyssinia	39.756	10.6596
argu1237	N Coast New Guinea	132.5556	-2.645798
arha1237	Oceania	165.273	-21.2866
arho1237	Oceania	165.161	-21.3183
arhu1242	NE South America	-73.6363	10.7018
arib1240	N Coast New Guinea	146.919	-6.65252
arib1241	N Coast New Guinea	146.991	-6.72266
arif1239	S New Guinea	149.246	-9.15565
arig1246	African Savannah	5.89556	7.56324
arii1243	S New Guinea	142.4	-7.95526
arik1262	Basin and Plains	-100	45
arik1264	NE South America	-63.742	-8.924
arik1265	NE South America	-62.7261	-12.4878
arin1243	Inner Asia	93	57
arin1244	S Africa	31.3071	3.56143
arit1239	N Australia	142.138748	-12.50839255
ariz1237	Basin and Plains	-110.381389	35.836667
arma1244	Andean	-76	2.03332
arme1259	Greater Mesopotamia	44.4767	40.1002
aroa1234	NE South America	-60.398433	-2.102167
arom1237	Europe	21.2	40.616
arop1242	N Coast New Guinea	142.12	-3.06984
arop1243	N Coast New Guinea	147.103	-5.31671
aros1241	Oceania	161.432	-10.2441
arta1239	Oceania	121.656	16.4185
arua1260	N Coast New Guinea	144.842	-4.28957
arua1261	NE South America	-62.4357	-12.1186
arua1263	NE South America	-67.98	-5.5
arua1264	NE South America	-50.123291	-0.608631
arub1238	NE South America	-69.65051	11.28679
arue1240	N Coast New Guinea	142.715	-3.37841
aruo1240	N Coast New Guinea	142.478	-3.45782
arut1244	NE South America	-62.8676118	4.0673594
arva1236	Europe	23.3703	38.283
asar1240	N Coast New Guinea	146.508	-5.68263
asas1240	Interior New Guinea	145.549	-5.69345
asha1243	Andean	-73.9073	-11.9311
ashe1269	African Savannah	7.39443	9.36574
ashe1272	Andean	-74.9153	-10.9777
ashe1273	NE South America	-74.2014	-10.7583
ashk1246	Indic	70.542035	35.10699
asho1236	Indic	93.5069	21.393
asht1244	Greater Mesopotamia	48.6808	37.7469
asil1242	Oceania	127.952	-3.67302
asko1238	Oceania	155.307	-6.22539
asoa1238	S Africa	26.7198	2.26818
aspr1238	Europe	15.88621	38.0166
assa1263	Indic	91.2932	26.0876
assa1266	Inner Asia	94	56
assa1269	African Savannah	22.6393	13.9592
assi1247	Basin and Plains	-106.068	49.2923
asss1237	N Coast New Guinea	131.728	-0.75267
